daysince2010 Centre Grand.Anse L.Artibonite Nippes Nord Nord.Est Nord.Ouest Ouest Port.au.Prince Sud Sud.Est
44 0 0 0 0 0 0 0 0 0 0 0
45 0 0 0 0 0 0 0 0 0 0 0
46 0 0 0 0 0 0 0 0 0 0 0
47 0 0 0 0 0 0 0 0 0 0 0
48 0 0 0 0 0 0 0 0 0 0 0
49 0 0 0 0 0 0 0 0 0 0 0
50 0 0 0 0 0 0 0 0 0 0 0
51 0 0 0 0 0 0 0 0 0 0 0
53 0 0 0 0 0 0 0 0 0 0 0
54 0 0 0 0 0 0 0 0 0 0 0
55 0 0 0 0 0 0 0.01539394 0 0 0 0
56 0.2955636 7.514897 0.1932066 0.7366 0.05918447 2.632364 0.4464243 0 0 0 1.970795
57 0 0 0 0.8636 0 0 0 0.0131521 0.0131521 0 0
58 11.26836 0 3.224551 68.9864 3.590524 1.370061 1.385455 22.33227 22.33227 5.096127 23.25783
59 0 0 0 0 0 0 0 0 0 0 0
60 0 0 0 0 0 0 0 0 0 0 0
61 0 0 0 0 0 0 0 0 0 0 0
64 0 0 0 0 0 0 0 0 0 0 0
65 0 0 0 0 0 0 0 0 0 0 0
66 0 0 0 0 0 0 0 0 0 0 0
67 0 0 0 0 0 0 0 0 0 0 0
68 0 0 0 0 0 0 0 0 0 0 0
69 0 0 0 0 0 0 0 0 0 0 0
70 0 0 0 0 0 0 0 0 0 0 0
71 0 0 0 0 0 0 0 0 0 0 0
72 0 0 0 0 0 0 0 0 0 0 0
73 0 0 0 0 0 0 0 0 0 0 0
74 0 0 0 0 0 0 0 0 0 0 0
75 0 0 0 0 0 0 0 0 0 0 0
76 0 0 0 0 0 0 0 0 0 0 0
77 9.0424 0 1.252511 0 1.578252 0 0.246303 1.394123 1.394123 0.4515556 0
78 0 0 0 0 0 0 0 0 0 0 0
79 0 0 0 0 0 0 0 0 0 0 0
80 0 0 0 0 0 0 0 0 0 0 0
81 0 0 0 0 0 0 0 0 0 0 0
82 0 0 0 0 0 0 0 0 0 0 0
88 198.6188 260.096 80.16074 260.096 0 0 0 260.096 260.096 260.096 260.096
89 0 0 0 0 0 0 0 0 0 0 0
90 0 0 0 0 0 0 0 0 0 0 0
91 0 0 0 0 0 0 0 0 0 0 0
92 0 0 0 0 0 0 0 0.03288026 0.03288026 0.1128889 0
93 0 0 0 0 0 0 0 0 0 0 0
94 0 0 0 0 0 0 0 0 0 0 0
95 0 0 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 0 0 0
97 0 0 0 0 0 0 0 0 0 0 0
98 0 0 0 0 0 0 0 0 0 0 0
99 0 0 0 0 0 0 0 0 0 0 0
100 0 0 0 0 0 0 0 0 0 0 0
101 0 0 0 0 0 0 0 0 0 0 0
102 0 0 0.01332459 0 0.6904855 0 0.09236364 0 0 0 0
103 0 0 0 0 0 0 0 0 0 0 0
104 0 0 0 0.127 0 0 0 0 0 0 0
105 0 0 0 0.0508 0 0 0 0 0 0 0
106 0.03694546 5.517931 0 1.2954 0 0.01539394 0 0.05260842 0.05260842 0.01612698 1.860627
107 0 1.20869 0.2131934 0 0 4.233333 0 0 0 0 0
108 7.832437 82.4011 12.47182 57.5564 11.63961 29.01758 6.634788 10.30467 10.30467 3.725333 70.55692
109 10.13229 22.50966 20.85298 15.9004 12.07363 26.32364 23.16788 6.931159 6.931159 4.725206 11.21272
110 5.6896 5.815724 6.575685 7.62 8.759301 0.3386667 6.927273 11.02804 11.02804 22.67454 7.099759
111 0 0 0 0 0 0 0 0 0 0 0
112 0 0 0 0 0 0 0 0 0 0 0
113 0 0 0 0 0 0 0 0 0 0 0
114 0 0 0 0 0 0 0 0.01972816 0.01972816 0 0
116 0 0.08758621 0 0 0 0 0 0 0 0 0
117 20.32 20.32 20.32 20.32 20.32 12.86933 20.10448 20.32 20.32 20.32 20.32
118 0 0 0 0 0 0 0 0 0 0 0
119 0.2863273 2.049517 0 0.8636 1.045592 0 0.03078788 0.05260842 0.05260842 0 0
120 0.01847273 0 0 0 0 0 0 0 0 0 0
121 0.1662546 0 0.01998689 0 0 0 0 0.01972816 0.01972816 0 0
122 7.296727 4.572 3.277849 11.0998 0.1972816 0 0 8.088544 8.088544 0.8063492 0.7711807
123 2.207491 0 0.6062689 0 0 0 0 0 0 0 0.06120482
124 0.3602182 0.01751724 0.1465705 0.1778 4.182369 0.09236364 2.632364 0 0 0 0
125 11.64705 0 0.4197246 0 10.00217 0.1385455 4.987636 1.124505 1.124505 0.2096508 0
126 0 0.2802759 0 0 0 0 0 0 0 0 0
127 0 0 0 0 0 0 0 0 0 0 0
128 0 0 0 0 0 0 0 0 0 0 0
129 0.1108364 0.2977931 0 0 0 0 0 0 0 0 0
130 0 0 0 0 0 0 0 0.4734757 0.4734757 0 0
131 0.3325091 0 0 0.4572 0 0 0 0.9009191 0.9009191 6.273397 1.713735
132 0 0 0 0 0 0 0 0 0 0 0
133 0 0 0 0 0.2367379 0.03078788 0 0 0 0 0
134 0 0 0 0 0 0 0 0 0 0 0
135 0.5449455 0.05255173 1.139252 0 9.114408 0 4.079394 0 0 0 0
136 0 0 0 0 0 0 0 0 0 0 0
137 1.782618 0 0 0 0.01972816 0 0.01539394 0 0 0 0
138 34.08218 15.09986 0.2465049 55.3974 4.182369 0.2155152 6.188364 54.24585 54.24585 38.57575 3.182651
139 37.60124 1.594069 26.76244 1.651 20.08326 2.909455 34.46703 2.176673 2.176673 0.6934603 1.150651
140 3.768436 0.1751724 2.811489 5.5372 2.544932 2.570788 4.756727 0.01972816 0.01972816 0 0.4651566
141 7.490691 1.453931 1.472367 3.8862 1.893903 3.894667 1.400849 13.83601 13.83601 10.04711 0.08568675
142 2.669309 1.086069 1.965377 1.0668 2.683029 0.2155152 1.801091 2.459443 2.459443 0 1.236337
143 0.4802909 0.437931 0.01998689 0 0.887767 0.06157576 0.6157576 0.006576052 0.006576052 0 0.1713735
144 0.009236364 2.750207 0 2.3368 1.085049 0 0 0.631301 0.631301 0.3386667 0.01224096
145 12.11811 34.15862 11.08606 20.9042 14.63829 7.958667 13.60824 19.96489 19.96489 26.25473 25.06949
146 0.1939636 0.3853793 0 1.2192 0 0 0.4772121 1.459884 1.459884 4.418794 1.750458
147 0.05541818 12.77007 3.6576 26.0858 0.6510291 6.573212 0.6311515 2.53178 2.53178 2.531937 13.80781
148 2.632364 19.07628 8.521076 21.844 7.753165 8.466667 5.372485 13.40199 13.40199 32.43137 50.20019
149 12.01651 0.508 0.6129312 5.4356 3.393243 0 0.1077576 15.98638 15.98638 31.43149 3.133687
150 8.756073 8.653517 0 29.5148 0.03945631 0 0 0.4274434 0.4274434 0.04838095 9.609157
151 79.77447 60.94248 14.11074 6.2484 63.56412 1.739515 27.38582 3.99824 3.99824 0 16.68443
152 43.62335 22.10676 31.73251 3.0988 31.07184 4.418061 28.49418 40.84386 40.84386 6.531429 9.033831
153 51.80676 8.776138 29.79378 0.1778 17.81452 0.6311515 12.77697 52.9701 52.9701 24.86781 1.101687
154 35.27367 14.31159 9.547069 0.0508 32.47254 0.1539394 16.87176 4.675573 4.675573 0 2.509398
155 1.865746 0 0.113259 0 0.03945631 0 0.1385455 6.142032 6.142032 2.612571 0
156 15.1384 0 1.865443 0 0.1183689 0 0.261697 4.116608 4.116608 0.5321905 0.03672289
157 27.432 6.358759 1.519003 1.3208 14.06617 0.2155152 6.711758 3.071016 3.071016 0.5321905 4.651566
158 6.871855 0.1576552 1.285823 0.4826 0.07891262 0.1231515 5.464849 5.083288 5.083288 0.4031746 0.02448193
159 50.04262 1.769241 23.9776 15.367 15.72334 0.3078788 6.742545 28.50718 28.50718 8.402159 4.32106
160 61.10778 4.028966 18.90093 0.1778 15.1315 0 9.482667 4.728181 4.728181 0 0.01224096
161 5.421746 3.293241 6.349167 0.0762 10.14027 2.278303 16.05588 0.2104337 0.2104337 0 0
162 2.835564 4.484414 1.245849 0.254 24.34454 0.7850909 4.017818 1.025864 1.025864 0.3064127 3.011277
164 17.65069 32.79228 1.079292 3.7338 6.786485 0 0.3386667 7.917566 7.917566 0.5321905 0.04896386
165 0.8682182 2.820276 6.622321 0.1016 0.09864078 0.1385455 0.1385455 0.6839094 0.6839094 0 0
166 13.1064 0.6131035 18.03483 0 0.256466 0.1077576 0.9698182 3.011832 3.011832 0 1.346506
167 1.884218 57.03614 10.9195 1.4986 10.88994 0 0.0769697 3.215689 3.215689 0.04838095 2.644048
168 3.574473 0.3503448 0 0 0.9272233 0 0 0.0131521 0.0131521 0 0
169 11.26836 8.811172 0.519659 0.9652 0.5523884 0 0.01539394 4.064 4.064 0 0.04896386
170 14.63964 0 0.05996066 0.0762 0.2761942 0 0 12.30379 12.30379 2.112635 1.468916
171 22.41665 34.77172 38.24157 42.5704 59.44093 6.650182 69.90388 59.31599 59.31599 26.77079 23.29455
172 11.73942 18.72593 19.0475 26.3906 25.7847 0 25.95418 15.6247 15.6247 2.435175 20.94429
173 7.121236 70.40179 31.95237 73.2028 6.214369 20.79721 27.70909 6.549748 6.549748 2.064254 46.34429
174 2.179782 43.688 26.416 10.922 30.77592 17.0257 30.88024 0.8088544 0.8088544 0.3547937 40.50535
175 28.16167 25.78538 52.3723 4.699 76.28878 67.34849 71.73576 7.194201 7.194201 7.128127 21.51961
176 0 20.77545 0.03331148 0 0 0 0.01539394 0.05260842 0.05260842 0 8.470747
177 32.53971 0.4554483 7.175292 8.9662 3.136777 0 1.123758 24.80487 24.80487 10.53092 1.958554
178 16.36684 0.4204138 21.79903 0.3048 2.288466 0 0 13.82944 13.82944 0.7740953 0.01224096
179 7.989455 4.25669 0.8261246 0 42.96792 0 19.27321 0.7299418 0.7299418 0.3386667 2.019759
180 27.7368 3.766207 1.105941 0 28.32963 0.03078788 6.003636 8.535715 8.535715 0.8224762 0.3672289
181 30.63702 40.85021 50.13377 42.7482 30.83511 52.89358 51.40036 12.77727 12.77727 3.386667 4.455711
182 0 3.783724 0 0 8.404194 0 0 0 0 0 0
183 21.39142 0.2452414 5.143292 0.1016 32.39363 0 18.88836 0 0 0 0
184 9.541164 0.01751724 0.4796853 0 1.736078 0 2.016606 1.650589 1.650589 0 0.03672289
185 3.851564 0.05255173 1.185889 12.6746 0 0 0 31.04554 31.04554 11.98235 1.199614
186 3.823855 58.10469 0.1598951 110.998 0.03945631 0 0 57.07355 57.07355 34.44724 56.66342
187 73.33673 0.01751724 8.627672 1.3208 32.90656 0 13.65442 36.83247 36.83247 10.61156 10.12328
188 38.21084 11.38621 67.42243 8.1026 57.86268 27.6937 57.43479 23.86449 23.86449 0 13.03663
189 30.61855 0 6.968761 0 7.733437 0 13.88533 0 0 0 0.02448193
190 1.736436 1.191172 0.01998689 0 0 0 0 0.5458123 0.5458123 0 10.6374
191 54.48531 6.463862 8.394492 0.2032 2.209553 0.06157576 4.064 0.9666796 0.9666796 0.2419048 0.1713735
192 47.13316 0.01751724 32.25883 10.0584 13.5927 0.4772121 20.76642 14.83557 14.83557 0.3225397 0.4651566
193 20.43084 1.156138 66.50969 2.1082 20.9513 34.02061 73.19818 7.726861 7.726861 1.822349 0.3182651
194 3.223491 17.65738 0.3531016 78.3082 0 0 0 30.59179 30.59179 8.998857 38.17957
195 31.67149 28.16772 31.97902 25.8826 42.23798 10.85273 39.30073 11.67249 11.67249 0.4193016 1.738217
196 0.04618182 31.46097 0.2531672 50.8254 0 0.4310303 0.3078788 5.089864 5.089864 0.7902222 44.30005
197 15.90502 51.85103 18.61445 64.0334 30.53918 0.3540606 5.772727 59.07925 59.07925 27.88356 35.62121
198 49.29447 93.27931 23.37799 85.0138 18.86012 1.016 14.16242 25.87019 25.87019 10.88571 49.13523
199 50.19964 27.5371 55.41031 35.433 11.58043 8.112606 19.85818 44.14504 44.14504 14.224 37.592
200 15.24924 12.22703 1.638925 10.6172 3.74835 0.0769697 17.14885 23.16085 23.16085 29.14146 41.22757
201 50.38436 67.37131 45.69002 115.0366 40.99511 0.5541818 31.71152 77.50535 77.50535 50.84838 69.30834
202 24.19927 85.58924 40.51342 52.9844 36.77328 76.04606 27.06255 22.88466 22.88466 51.60635 39.44039
203 10.91738 75.30662 42.25894 0.508 42.02097 14.42412 55.24885 1.394123 1.394123 0 27.00357
204 17.24429 10.16 55.34369 1.8542 34.64264 15.64024 47.47491 17.84083 17.84083 6.918476 8.00559
205 0 6.358759 0.2531672 3.5306 0 0 0.3848485 0.7167897 0.7167897 0.6773334 7.307856
206 0 0 0.06662295 0 0 0 0 0 0 0 0
207 0.7204364 0 0.006662295 0 0 0 0 0 0 0.9514921 0.330506
208 0.4618182 2.34731 0.926059 0.0254 1.538796 0 0 0.5655405 0.5655405 0 0.8691084
209 0.3602182 0.2977931 7.741587 0.0762 0.1380971 0.523394 3.140364 0.07891262 0.07891262 0 0
210 44.64858 1.488966 2.131934 3.302 0.5129321 0.3078788 2.940242 24.02889 24.02889 17.14298 0
211 12.89396 4.852276 16.17605 23.0632 4.517748 1.077576 0 27.92192 27.92192 3.596318 15.68067
212 9.217891 12.34966 3.217889 8.2804 0.5918447 0 0.03078788 8.226641 8.226641 6.063746 11.57995
213 0 0.2102069 0 0 0 0 0 0.8022783 0.8022783 0 0
214 1.256145 18.41062 0.05329836 0 10.55456 0 0 8.989463 8.989463 0 0.2080964
215 1.514764 0 5.969416 0.2032 0 0 1.708727 1.06532 1.06532 0 0.04896386
216 9.088582 2.119586 7.375161 11.3284 49.65577 0.1231515 23.64509 8.404194 8.404194 5.370286 0.01224096
218 16.57004 21.45862 3.764197 1.2446 0 2.832485 2.709333 10.58744 10.58744 4.031746 4.370024
219 15.748 0.05255173 1.492354 4.4958 0.5918447 0.2001212 3.894667 19.74788 19.74788 1.161143 0
220 10.3632 34.12359 2.678243 66.1162 0 0.7389091 0 16.97937 16.97937 10.20838 57.94872
221 11.39767 36.24317 3.497705 8.1788 31.13103 0 0.03078788 38.41072 38.41072 8.337651 31.09205
222 29.40858 51.32552 30.39339 33.3502 6.687845 5.895879 4.679758 38.68034 38.68034 0.6773334 1.90959
223 28.02313 75.90221 25.22345 5.9944 12.48792 33.23552 10.77576 21.68782 21.68782 6.25727 4.235374
224 28.89135 81.13986 42.45881 44.1198 35.4515 32.18873 41.37891 31.24282 31.24282 7.740952 28.94988
225 33.21396 15.8531 24.30405 0.9398 52.16124 0 23.02933 5.241113 5.241113 4.38654 7.454747
226 30.30451 6.218621 11.11937 15.0114 3.038136 0.03078788 1.031394 21.53657 21.53657 6.499175 3.268337
227 35.69855 60.74979 18.25469 1.9812 26.57383 9.267152 9.205576 5.320026 5.320026 3.628571 6.242892
228 0.4064 56.73835 5.86282 11.2268 2.130641 0 0.4464243 3.024984 3.024984 0 3.243855
229 18.92531 11.38621 29.0143 14.9606 8.996039 16.42533 7.389091 21.12885 21.12885 0.06450794 11.95942
230 5.865091 5.535448 15.57645 0.9652 33.08412 1.462424 6.157576 0.2104337 0.2104337 0 11.6534
231 16.68087 3.573517 3.311161 0 0.9469515 0 0 17.49887 17.49887 0.08063492 0.697735
232 0.7019637 0 0 0 0 0 0 1.229722 1.229722 0 0
233 3.140364 29.30635 3.10463 17.4752 0.1578252 0 0 4.905735 4.905735 0.3386667 10.84549
234 0 0.2452414 0.9060722 0 0 3.155758 2.770909 0 0 0 0
235 0.2216727 9.091448 3.597639 0 24.28536 0.09236364 17.5183 0.3353786 0.3353786 2.161016 0
236 2.549236 0 18.70106 0 8.621204 30.26448 13.11564 0.006576052 0.006576052 0 0
237 7.832436 0.4028966 0.9527082 8.636 4.853126 0 10.11382 9.712829 9.712829 4.515556 1.297542
238 6.567055 23.10524 7.521731 29.1846 24.60101 0 3.201939 30.86799 30.86799 7.43454 20.35672
239 29.10378 35.20966 19.1008 8.2296 19.33359 1.09297 23.56812 1.920207 1.920207 0.3547937 0.8323856
240 2.549236 2.592552 6.569023 0 0.8483107 12.05345 28.17091 1.933359 1.933359 0.03225397 0
241 19.56262 34.68414 29.54062 3.9116 12.54711 7.327515 11.22218 13.0995 13.0995 5.708952 2.717494
242 0 0 0 0 0 0 0 0 0 0 0
243 0.009236364 0 0.06662295 0 0 0 0 0.5392363 0.5392363 1.096635 0
244 0.07389091 0.7006897 0.1932066 0 24.79829 0 15.9943 0.04603236 0.04603236 0.4838095 0
245 0.9051637 5.044966 15.36991 0 30.04598 29.35624 33.35867 0 0 0 1.003759
246 15.99738 18.62083 5.86282 18.161 4.340194 0 0.01539394 8.331858 8.331858 2.096508 13.66092
247 4.535055 6.604 5.263213 0.8636 0.01972816 0 4.387273 8.963159 8.963159 5.257397 2.656289
248 1.477818 6.183586 3.271187 31.8516 0.05918447 0.01539394 0.04618182 14.50677 14.50677 12.3694 16.92925
249 0 16.41366 0 1.8288 0 0 0 0.006576052 0.006576052 0 0.7589398
250 1.034473 0.01751724 5.882807 0.3048 0.1578252 0 0.8774546 6.490563 6.490563 0.1290159 0
251 34.73796 41.90124 37.32884 59.9948 2.722485 26.69309 9.436485 54.65357 54.65357 23.67441 23.5761
252 18.74982 35.77021 1.905416 0.3556 0.07891262 0 0.4310303 2.972375 2.972375 5.128381 6.47547
253 0 24.33145 0 0 0.1578252 0 0 1.111353 1.111353 0 1.762699
254 3.870036 5.202621 1.665574 0.0254 36.00388 0 8.297333 0.5786926 0.5786926 0.01612698 0.1836145
255 0.4987637 3.083035 3.91743 0 46.34144 0 3.094182 0.2893463 0.2893463 0 13.75884
256 12.94015 6.306207 10.87287 0.7874 52.35852 1.354667 29.75648 3.261722 3.261722 4.015619 5.288096
257 25.41847 10.30014 12.73165 2.1336 0 1.893455 0.01539394 22.27309 22.27309 9.853587 3.256096
258 0 0 0 0 0 0 0 2.433139 2.433139 1.951365 0
259 0 0 0 0 0 0 0 0.09864078 0.09864078 0.6128254 0.2203374
260 0 0.05255173 0 0 0 0 0 0.04603236 0.04603236 0 0
261 0 0.08758621 0 0.0254 0 0 0 0 0 0 0
262 0.01847273 0.7357242 0 0.762 0 0.01539394 0 0 0 0 0.04896386
263 1.838036 0.3503448 0.7395148 0.0762 38.76583 0 15.68642 0.9666796 0.9666796 6.628191 0.673253
264 14.21476 1.156138 16.78232 0.254 32.68955 18.44194 17.73382 9.12756 9.12756 1.70946 0.1713735
265 0 0 0 0 0 0 0 0 0 0 0
266 0 0 0 0 0 0 0 0 0 0 0
267 16.00662 2.487448 12.7583 2.0828 0.09864078 0 0.7081212 4.458563 4.458563 1.354667 0.7466988
268 0.1847273 20.28497 0.6728918 19.7612 0 3.309697 0.2309091 10.50195 10.50195 16.20762 7.026313
269 49.91331 78.19697 42.4255 39.9796 29.51332 3.494424 17.19503 11.13983 11.13983 23.28737 29.37831
270 50.54138 3.783724 37.76855 0.0254 53.42384 11.9303 21.53612 27.67203 27.67203 7.96673 3.084723
271 0.6927273 7.42731 0 5.4864 0.9272233 0 0 0.2170097 0.2170097 0.2257778 21.22583
272 1.838036 24.12124 5.709587 2.6416 0 0.4772121 1.062182 4.925463 4.925463 9.144 9.633639
273 2.3368 3.74869 9.533744 0.4064 6.490563 52.03152 12.59224 0.5326602 0.5326602 1.193397 0.1836145
274 1.801091 8.916276 1.205875 1.651 11.65934 5.403273 1.801091 1.190265 1.190265 0.7418413 5.092241
275 21.16975 7.269655 7.475095 0.1778 8.423922 0 10.62182 0.5852686 0.5852686 0.1935238 5.630843
276 22.36124 19.35655 16.03614 0.0508 7.417786 9.421091 23.02933 8.94343 8.94343 1.386921 0.1468916
277 63.28756 96.99297 6.708931 24.384 7.06268 0 2.170545 23.14113 23.14113 15.51416 2.521639
278 0.4710546 19.09379 0 1.4732 0.01972816 0 0 14.00041 14.00041 1.967492 12.2532
279 0 20.98566 0.01332459 4.2672 0 0 0 0.03945631 0.03945631 0 33.11181
280 0 22.19434 0 2.8956 0 0 0 0.4668997 0.4668997 4.563937 6.671325
281 0.4987636 0 3.344472 0 1.400699 0.4772121 21.95176 0.8483107 0.8483107 0 0
282 0.4156364 0.8057931 1.052643 2.7178 20.65538 0.0769697 9.144 1.236298 1.236298 0.5160635 0.354988
283 0.9882909 0.3328276 1.119266 0.3048 27.65887 0.01539394 6.942667 4.537476 4.537476 0 0.02448193
284 5.911273 0 6.668957 0 0.05918447 0 1.308485 0 0 0 0
285 12.05345 6.639035 2.131934 1.143 0 0 0 8.430498 8.430498 4.451048 0.4161928
286 8.211127 51.65835 0.6062689 6.0706 0 0 0 18.49843 18.49843 8.837587 7.650602
287 4.027055 17.44717 0.1199213 0.2032 0 0 0 12.17227 12.17227 1.33854 0.04896386
288 1.357745 0 0.08660984 0 0 0 0 0.9403754 0.9403754 0 0
289 1.468582 0 0.8927475 0.6096 0.09864078 0 6.388485 6.977191 6.977191 4.257524 0
290 0.7204364 3.888828 0.1998689 0.4572 0.1775534 1.570182 6.942667 21.82592 21.82592 0.2257778 7.148723
291 5.144655 12.26207 4.64362 0.1016 35.64878 6.757939 8.143394 9.088104 9.088104 0.01612698 0.5753253
292 8.626764 0.1926897 23.06487 0 1.104777 1.416242 0.261697 5.326602 5.326602 0.08063492 0.01224096
293 6.419273 13.54083 1.745521 16.002 45.8285 13.99309 27.12412 4.576932 4.576932 9.337524 42.92906
294 0 1.471448 0 66.4972 0 0 0.04618182 0.1380971 0.1380971 0.1612698 41.1786
295 0 0 0 0 0 0 0 0 0 0 0
296 0 0 0.03997377 0 0 0.1077576 2.97103 0.006576052 0.006576052 0 0
297 0 3.731172 0 0.1778 0 0 0 0.5392363 0.5392363 0 6.083759
298 0 0.2627586 0 0 0 0 0 0.2170097 0.2170097 0 0.1346506
299 0 0 0 0.3556 0 0 0.0769697 0.01972816 0.01972816 0 0.01224096
300 0.04618182 0 0.02664918 0.0254 0 0 0.01539394 23.62775 23.62775 9.660064 0
301 0 0 0 0 0 0 0 0 0 0 0
302 0 0 0 0 0 0 0 0 0 0 0
303 0 0 0 0 0 0 0 0 0 0 0
304 0.2401455 0.1226207 0.6262557 0 0 0 0 0.381411 0.381411 0 0
305 0 0.9459311 0 0 0 0 0 0 0 0 0
306 0 0 0 0 0 0 0 0.24989 0.24989 0.9353651 0
307 0 7.655035 0.1865443 10.1092 0 0.01539394 0 1.183689 1.183689 0.2096508 7.503711
308 11.82255 126.7723 14.1707 79.6544 10.63348 26.86242 7.112 60.74957 60.74957 105.9059 102.3467
309 64.89469 72.7491 120.3077 4.9784 97.71355 67.76412 87.69927 49.2612 49.2612 29.83492 38.96299
310 0 0 0 0 0 0 0 0.374835 0.374835 0.01612698 0
311 0 0 0 0 0 0 0 0 0 0.1128889 0
312 0.06465455 0 0 0 0 0 0 0.4142913 0.4142913 0.1773968 0
313 0 0.1576552 0.2531672 3.1496 0 0 0.01539394 0.03288026 0.03288026 0 1.468916
314 0 0 0 0 0 0 0 0 0 0 0
315 0 0 0 0 0 0 0 0 0 0 0
316 0 0 0 0 0 0 0 0 0 0 0
317 0 0 0 0 0 0 0 0 0 0 0
318 0 0 0 0 0 0 0 0 0 0 0
319 0 0 0 0 0 0 0 0 0 0 0.04896386
320 0 0.2627586 0 0 0 0 0 0 0 0 1.689253
321 0 0 0 0 0 0 0 0 0 0 0
322 0 0 0 0 0 0 0 0 0 0 0
323 0 0 0 0 0 0 0 0 0 0 0
324 0 0 0 0 0 0 0 0 0 0 0
325 0 0 0 0 0 0 0 0 0 0 0
326 0 0 0 0 0 0 0 0 0 0 0
327 0 0 0 0 0 0 0 0 0 0 0
328 0 0 0 0 0 0 0 0 0 0 0
329 0 0 0 0 0 0 0 0 0 0 0
330 0 0 0 0 0 0 0 0 0 0 0
331 0 0 0 0 0 0 0 0 0 0 0
332 0 0 0 0 0 0 0 0 0 0 0
333 0 0 0 0 0 0 0 0 0 0 0
334 0 0 0 0 0 0 0 0 0 0 0
335 0 0 0 0 0 0 0 0 0 0 0
336 0 0 0 0 0 0 0 0 0 0 0
337 0 0 0 0 0 0 0 0 0 0 0
338 0 0 0 0 0 0 0 0 0 0 0
339 0 0 0 0 0 0 0 0 0 0 0
340 0 0 0 0 0 0 0 0 0 0 0
341 0 0 0 0 0 0 0 0 0 0 0
342 0.03694546 1.471448 0.07328525 1.778 0 0.1385455 0.01539394 0.2827702 0.2827702 0.6612064 2.631807
343 0.009236364 9.96731 0.04663607 0.1016 0 2.647758 0 0.2893463 0.2893463 0.06450794 4.529157
344 0.01847273 17.53476 0.09993443 6.4262 0 0.03078788 0 2.143793 2.143793 5.450921 7.797494
345 0 0 0 0 0 0 0 0 0 0 0
346 0.3140364 40.06193 0.3864131 26.1874 0.07891262 0 0.2309091 7.102136 7.102136 13.96597 45.52414
347 0 0 0.6262558 0 0 0.8774546 0.2001212 0.8351586 0.8351586 6.612064 0
348 0 0 0 0 0 0 0 0 0 0 0
349 0.4710546 1.471448 0.5796197 1.9304 0 0 0.2924849 0.3353786 0.3353786 0 0.9792771
350 0 0 0 0 0 0 0 0 0 0 0
351 0 0 0 0 0 0 0 0 0 0 0
352 0 0.8408276 0 0.1524 0 0 0 0 0 0 1.162892
353 0 0 0 0 0 0 0 0 0 0 0
354 0 0 0 0 0 0 0 0 0 0 0
355 0 0 0 0 0 0 0 0 0 0 0
356 0 0.05255173 0 0 0 0 0 0.131521 0.131521 0.7095873 0.06120482
357 0 0 0 0 0 0 0 0 0 0 0
358 0.1108364 0 0.006662295 1.3462 0 0 0 1.597981 1.597981 2.951238 1.566843
359 0 4.76469 0.7595017 0 0 3.786909 0.8312728 1.328362 1.328362 0.6289524 0.4773976
360 0.01847273 0 0 0.3048 0 0 0 1.104777 1.104777 0.7902222 0.09792771
